band_color,band_material,band_width,case_diameter,case_material,case_thickness,discount,img,item_weight,manufacturer,mrp,num_ratings,pay_on_delivery,rating,returnable,sp,title,warranty
NA,Leather,22 Millimeters,48 Millimeters,Brass,7.7 Millimeters,-20%,https://m.media-amazon.com/images/I/31ZBAcjNMSL._SY300_SX300_.jpg,200 Grams,Titan,"₹1,596",266 ratings,FALSE,4.5,FALSE,"1,596",Titan Neo Economy Analog White Dial Men's Watch-NN1802SL04/NP1802SL04,
NA,Stainless Steel,22 Millimeters,36 Millimeters,Stainless Steel,NA,,https://m.media-amazon.com/images/I/41nkFndJccL._SY300_SX300_.jpg,110 Grams,Sonata, ,"1,930 ratings",TRUE,4,TRUE,719,Sonata White Dial Analog watch For Men-NR1013SM01,
NA,Stainless Steel,22 Millimeters,38 Millimeters,Brass,4,-82%,https://m.media-amazon.com/images/I/41jM-+2+oOS._SY300_SX300_.jpg,180 Grams,LOUIS DEVIN, ,331 ratings,TRUE,3.7,TRUE,479,LOUIS DEVIN LD-BK047-GLDBLK Black Metal Chain Analog Wrist Watch for Men,1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.
NA,METAL STAINLESS STEEL,20 Millimeters,42 Millimeters,Metal,8 Millimeters,-57%,https://m.media-amazon.com/images/I/41BfC8nbkoL._SY300_SX300_.jpg,200 Grams,French Connection, ,1 rating,TRUE,5,TRUE,"2,580",French Connection Spring-Summer 2023 Analog Silver Dial Men's Watch-FCN00049C,NA
NA,Silicone,18 Millimeters,32.5 Millimeters,Plastic,8 Millimeters,-70%,https://m.media-amazon.com/images/I/31gl25X-YcS._SY300_SX300_.jpg,500 Grams,FCUK, ,98 ratings,TRUE,4,TRUE,975,FCUK Analog Dial Unisex-Adult's Watch,NA
NA,NA,NA,NA,NA,NA,-15%,https://m.media-amazon.com/images/I/41hGQOftuOL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹2,371.00",22 ratings,TRUE,4.4,TRUE,"2,371","TIMEX 3 Hands Men Analog Black Dial Coloured Quartz Watch, Round Dial with 40 mm Case Width - TWTG73SMU05",NA
NA,Leather,24 Millimeters,49 Millimeters,Brass,10 Millimeters,-20%,https://m.media-amazon.com/images/I/41-V58LJMJL._SY300_SX300_.jpg,100 Grams,Fastrack, ,16 ratings,TRUE,4.4,TRUE,"2,546",Fastrack Analog Black Dial Men's Watch-3287SL03/NR3287SL03,
NA,Leather,18 Millimeters,36 Millimeters,Stainless Steel,6 Millimeters,-30%,https://m.media-amazon.com/images/I/31IgpgKmwFL._SY300_SX300_.jpg,177 Grams,Daniel Wellington,"₹11,899",59 ratings,TRUE,4.2,TRUE,"11,899",Daniel Wellington Classic Analog White Dial Women's Watch - DW00100056,NA
NA,Silicone,22 Millimeters,42 Millimeters,Stainless Steel,10 Millimeters,-70%,https://m.media-amazon.com/images/I/41Y24uryRcL._SX300_SY300_QL70_FMwebp_.jpg,96 Grams,SWADESI STUFF,₹299,654 ratings,TRUE,3.4,TRUE,299,SWADESI STUFF Analog Unique Arrow Black Silicon Strap Watch for Men and Boys,6 Months
NA,Stainless Steel,20 Millimeters,38 Millimeters,Brass,8.83 Millimeters,,https://m.media-amazon.com/images/I/41Lj4kprcsL._SY300_SX300_.jpg,150 Grams,Sonata, ,"1,815 ratings",TRUE,4.1,TRUE,"1,099",Sonata Essentials Analog White Dial Men's Watch NM77083SM01 / NL77083SM01,
NA,Leather,20 Millimeters,41 Millimeters,Brass,7.35 Millimeters,-34%,https://m.media-amazon.com/images/I/41GcLBzztbL._SY300_SX300_.jpg,300 Grams,TIMEX, ,119 ratings,TRUE,4,TRUE,"1,910",TIMEX Analog Black Dial Men's Watch-TWTG80SMU04,"1 Years manufacturer warranty from the date of purchase: How to avail Warranty? • To claim your warranty, produce either an original bill copy/invoice or warranty card at any authorized Timex service centre. • For any service related enquiries and feedback, call Timex India toll free number 1800 419 2727 Monday to Saturday, 10.00 am to 7.00 pm(except government holidays) or mail at custservice@timexindia.com, feedback@timexindia.com"
NA,Leather,42 Millimeters,48.9 Millimeters,Brass,7.55 Millimeters,,https://m.media-amazon.com/images/I/41pVH+dWNRL._SY300_SX300_.jpg,150 Grams,Fastrack, ,,TRUE,77105NL07-SDN874- SO - ESSENTIALS MODERN,TRUE,"1,449",Sonata Grey Dial Analog Watch for Men -77105NL07,NA
NA,Polyurethane,20 Inches,36 Millimeters,PU,10,-84%,https://m.media-amazon.com/images/I/41ZF16rtlqL._SY300_SX300_.jpg,100 Grams,Acnos,₹310,343 ratings,TRUE,4,TRUE,310,Acnos® Premium Digital Men's Watch (Multicolour Dial Multi Colored Strap),1 Years Warranty Against The Manufacture Defect Only
NA,Silicone,24 Millimeters,49.5 Millimeters,Plastic,11.7 Millimeters,-30%,https://m.media-amazon.com/images/I/41+NcjaC4dL._SY300_SX300_.jpg,180 Grams,Fastrack, ,450 ratings,TRUE,4.1,TRUE,"1,606",Fastrack Two Timers Analog Black Dial Men's Watch-NN38042PP01/NP38042PP01,
NA,NA,NA,NA,NA,NA,-37%,https://m.media-amazon.com/images/I/41Gl5pUZ9DL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹1,645.00",18 ratings,TRUE,4.2,TRUE,"1,645",Fastrack Analog Black Dial Women's Casual Watch,NA
NA,Resin,21 Millimeters,48.7 Millimeters,Stainless Steel,12.6 Millimeters,-10%,https://m.media-amazon.com/images/I/41e2bVLdP9L._SY300_SX300_.jpg,96 Grams,Casio,"₹10,795",399 ratings,TRUE,4.5,TRUE,"10,795",Casio Edifice Analog Blue Dial Men EFR-556PC-2AVUDF ( EX386 ),
NA,Silicone,27 Millimeters,5.3 Centimeters,Plastic,15.5 Millimeters,-20%,https://m.media-amazon.com/images/I/41-t7NktOyL._SY300_SX300_.jpg,190 Grams,Fastrack,"₹1,516",131 ratings,TRUE,4.1,TRUE,"1,516",Fastrack Trendies Analog Black Dial Men's Watch-38057PP02/NP38057PP02,NA
NA,Stainless Steel,22 Millimeters,47 Millimeters,Brass,10 Millimeters,-10%,https://m.media-amazon.com/images/I/41mODAqkpnL._SY300_SX300_.jpg,200 Grams,Titan, ,596 ratings,TRUE,4.3,TRUE,"3,028",Titan Karishma Analog Silver Dial Men's Watch-NL1774BM01/NP1774BM01,
NA,NA,NA,NA,NA,NA,-20%,https://m.media-amazon.com/images/I/51Wk75DwCrL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹4,796.00","1,507 ratings",TRUE, ,TRUE,"4,796",Casio Enticer Analog Black Dial Men MTP-1374HD-2AVIF ( A1646 ),NA
NA,Silicone,20 Millimeters,39 Millimeters,Plastic,12 Millimeters,-53%,https://m.media-amazon.com/images/I/31iNaDFJy4L._SY300_SX300_.jpg,100 Grams,FCUK, ,271 ratings,TRUE,4,TRUE,"1,292",FCUK Analog Dial Unisex Watch,NA
NA,Stainless Steel,19 Millimeters,39.9 Millimeters,Metal,8.9 Millimeters,-40%,https://m.media-amazon.com/images/I/41NZ9gyDMdL._SY300_SX300_.jpg,104 Grams,Casio,"₹2,637",17 ratings,TRUE,4.2,TRUE,"2,637",Casio Analog Rose Gold Dial Men's Watch-MTP-1381HD-9AVIF (A1768),NA
NA,Resin,22.00 Centimeters,5.5 Centimeters,Plastic,19 Millimeters,-75%,https://m.media-amazon.com/images/I/41UWZ4i-JQL._SY300_SX300_.jpg,NA,V2A, ,"1,221 ratings",TRUE,3.8,TRUE,637,V2A Military Green Chronograph Analogue and Digital Sports Watch for Men and Boys,"1 Year Domestic Warranty from any manufacturing defects. Battery, Plating and Waterproofing are not covered under warranty"
NA,Stainless Steel,18 Millimeters,45 Millimeters,Stainless Steel,10.3 Millimeters,-10%,https://m.media-amazon.com/images/I/51JnJmohrAL._SY300_SX300_.jpg,118 Grams,Casio, ,56 ratings,TRUE,4.4,TRUE,"3,775",Casio Analog Black Dial Men's Watch-MTP-VD01B-1BVUDF,NA
NA,Silicone,22 Millimeters,5.7 Centimeters,Plastic,10 Millimeters,-86%,https://m.media-amazon.com/images/I/419S2xoOBGL._SY300_SX300_.jpg,NA,Matrix,₹284,78 ratings,TRUE,3.5,TRUE,284,Matrix Analog Big Black Dial Silicone Strap Wrist Watch for Men & Boys,1 Year Manufacturer Warranty
NA,Leather,12,45 Millimeters,NA,NA,-40%,https://m.media-amazon.com/images/I/41OthFsWLyL._SY300_SX300_.jpg,222 Grams,GUESS, ,53 ratings,FALSE,4.1,FALSE,"8,397","GUESS Factory Men's Brown Powerhouse Watch, NS",NA
NA,Stainless Steel,47.8 Millimeters,47.8 Millimeters,Stainless Steel,10.8 Millimeters,-10%,https://m.media-amazon.com/images/I/41IUak5MgZL._SY300_SX300_.jpg,125 Grams,Casio, ,19 ratings,TRUE,4.2,TRUE,"17,995",Casio Edifice Analog-Digital Black Dial Men ECB-2000DC-1ADF (ED565),NA
NA,Stainless Steel,22 Millimeters,47 Millimeters,Brass,29 Millimeters,-10%,https://m.media-amazon.com/images/I/41ndLTI9-FL._SY300_SX300_.jpg,200 Grams,Titan,"₹2,443",883 ratings,TRUE,4.2,TRUE,"2,443",Titan Analog Watch For Men -NR1774SM01,
NA,Plastic,40.7 Millimeters,40.7 Millimeters,Plastic,7.65 Millimeters,-40%,https://m.media-amazon.com/images/I/41VoMWAVI0L._SY300_SX300_.jpg,180 Grams,Fastrack,"₹1,195",386 ratings,TRUE,4.1,TRUE,"1,195",Fastrack Analog Black Mens Watch 3229SP01,
NA,Stainless Steel,12 Millimeters,46.5 Millimeters,Metal,13.2 Millimeters,-3%,https://m.media-amazon.com/images/I/31aVF4QCd8L._SY300_SX300_.jpg,180 Grams,Fastrack, ,"2,152 ratings",TRUE,4.3,TRUE,"4,250",Fastrack Analog Black Dial Men's Watch-NL3147KM01/NN3147KM01/NP3147KM01,
NA,Stainless Steel,22 Millimeters,40 Millimeters,Metal,10 Millimeters,-89%,https://m.media-amazon.com/images/I/510zRroT91L._SY300_SX300_.jpg,NA,Espoir,₹279,"2,007 ratings",TRUE,3.7,TRUE,279,Espoir Stainless Steel Day and Date Blue Dial Analog Mens Watch Sam0507,1 year
NA,Leather,40.3 Millimeters,47.3 Millimeters,Brass,7.65 Millimeters,-25%,https://m.media-amazon.com/images/I/41LzG+ayV2L._SY300_SX300_.jpg,120 Grams,Fastrack,"₹1,116",37 ratings,TRUE,3.9,TRUE,"1,116",Fastrack Silver Dial Analog Watch for Men -NR3291SL02,NA
NA,Leather,35 Millimeters,35 Millimeters,Stainless Steel,8 Millimeters,-79%,https://m.media-amazon.com/images/I/515tyaIhslL._SY300_SX300_QL70_FMwebp_.jpg,30 Grams,Acnos,₹429,342 ratings,TRUE,4.1,TRUE,429,Acnos® Premium Analog Multi-Colour Dial Men's Watch - AN-COMBO-01-02-MINO,1 year
NA,Leather,20 Millimeters,40 Millimeters,Brass,NA,-20%,https://m.media-amazon.com/images/I/41UF9qGfi0L._SY300_SX300_.jpg,100 Grams,TIMEX, ,273 ratings,TRUE,4.1,TRUE,"1,636",Timex Analog Black Dial Men's Watch-TW000R433,"1 Years manufacturer warranty from the date of purchase: How to avail Warranty? • To claim your warranty, produce either original bill copy/invoice or warranty card at any authorized Timex service centre. • For any service related enquiries and feedback, call Timex India toll free number 1800 419 2727 Monday to Sunday, 10.00 am to 7.00 pm(except government holidays) or mail at custservice@timexindia.com, feedback@timexindia.com"
NA,Leather,22 Millimeters,41 Millimeters,Brass,9.9 Millimeters,-20%,https://m.media-amazon.com/images/I/41SMgvDIaWL._SY300_SX300_.jpg,100 Grams,TIMEX, ,6 ratings,TRUE,3.9,TRUE,"2,156","TIMEX Classics Collection Multifunction Men's Analog Blue Dial Coloured Quartz Watch, Round Dial with 41mm Case Width - TWTG10001",1 year warranty against manufacturer defect
NA,NA,NA,NA,NA,NA,-30%,https://m.media-amazon.com/images/I/41ri47NOoiL._SY300_SX300_.jpg,NA,NA, ,"1,280 ratings",TRUE,4.1,TRUE,577,Fastrack Analog Unisex-Adult Watch,NA
NA,Stainless Steel,12.5 Centimeters,38 Millimeters,Metal,8.6 Millimeters,-15%,https://m.media-amazon.com/images/I/415ekY-kgeL._SY300_SX300_.jpg,141 Grams,Sonata,"₹1,509","4,736 ratings",TRUE,4.2,TRUE,"1,509",Sonata Formal Analog Black Dial Men's Watch NM7924NM01/NN7924NM01,
NA,Leather,21 Millimeters,51,Alloy Steel,11 Millimeters,-87%,https://m.media-amazon.com/images/I/51WwV5HfEYL._SY300_SX300_.jpg,NA,Carlington, ,107 ratings,TRUE,4.1,TRUE,648,Carlington Watches for Men with Date Display and Premium Leather Strap Men’s Watch (Black/Brown/Green/Tan/White) Colored Dial | Gift for Men | Gift for Rakhi | Gift for Brother | Rakshabandhan Gift,"1 Year From The Date Of Purchase. Warranty Is Limited To Manufacturing Defects Only. Straps, Batteries, Bracelets, Dial Are Not Included In Warranty"
NA,Silicone,20 Millimeters,36 Millimeters,Metal,10 Millimeters,-82%,https://m.media-amazon.com/images/I/41Mo2gK+zDL._SX300_SY300_.jpg,30 Grams,Acnos,₹355,121 ratings,TRUE,4,TRUE,355,Acnos® Premium Square 8 Colours Multi DIAL Strap Analog Silicon Strap ADDI Stylish Designer Analog Watch Combo for Boys Mens Pack of 2,1 Years Warranty Against The Manufacture Defect Only
NA,Leather,20 Millimeters,48 Millimeters,Brass,8.5 Millimeters,-5%,https://m.media-amazon.com/images/I/41hG15Y8XDL._SY300_SX300_.jpg,180 Grams,Sonata, ,840 ratings,TRUE,4.2,TRUE,875,Sonata Analog White Dial Men's Watch-7135SL03/NP7135SL03,1 year
NA,NA,24 Millimeters,45 Millimeters,NA,13 Millimeters,-50%,https://m.media-amazon.com/images/I/51IB5zZkefL._SY300_SX300_.jpg,249 Grams,Fossil,"₹7,547","2,248 ratings",TRUE,4.4,TRUE,"7,547",Fossil Analog Black men Watch FS5164,NA
NA,Metal,40.3 Millimeters,47.3 Millimeters,Brass,7.65 Millimeters,-25%,https://m.media-amazon.com/images/I/41anrH2jQuL._SY300_SX300_.jpg,120 Grams,Fastrack,"₹1,196",35 ratings,TRUE,4.3,TRUE,"1,196",Fastrack Grey Dial Analog Watch for Men -NR3291SM01,NA
NA,Silicone,23.5 Millimeters,5.3 Centimeters,Plastic,11.5 Millimeters,-10%,https://m.media-amazon.com/images/I/41DiDs-HRXL._SY300_SX300_.jpg,150 Grams,Fastrack, ,121 ratings,TRUE,4.2,TRUE,875,Fastrack White Dial Analog Watch For Unisex -NR68012PP05,1 year
NA,Silicone,26 Millimeters,5.7 Centimeters,Plastic,14.5 Millimeters,,https://m.media-amazon.com/images/I/41WFbGFu6pL._SY300_SX300_.jpg,150 Grams,Fastrack,₹850,29 ratings,TRUE,4.1,TRUE,850,Fastrack Analog Unisex-Adult Watch,1 year
NA,Stainless Steel,22 Millimeters,42 Millimeters,Stainless Steel,10 Millimeters,-88%,https://m.media-amazon.com/images/I/5196O9trUrL._SY300_SX300_.jpg,NA,Matrix, ,362 ratings,TRUE,3.6,TRUE,299,"Matrix Black, Blue, White Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",1 Year Manufacturer Warranty
NA,Leather,20 Millimeters,38 Millimeters,Brass,8 Millimeters,-6%,https://m.media-amazon.com/images/I/41k+7M8+JfL._SY300_SX300_.jpg,349 Grams,Sonata, ,"1,865 ratings",TRUE,4.2,TRUE,799,Sonata Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W,
NA,Silicone,22 Millimeters,42 Millimeters,Stainless Steel,10 Millimeters,-70%,https://m.media-amazon.com/images/I/41Y24uryRcL._SX300_SY300_QL70_FMwebp_.jpg,96 Grams,SWADESI STUFF,₹299,654 ratings,TRUE,3.4,TRUE,299,SWADESI STUFF Analog Unique Arrow Black Silicon Strap Watch for Men and Boys,6 Months
NA,Silicone,25 Millimeters,5.4 Centimeters,Plastic,12.55 Millimeters,-12%,https://m.media-amazon.com/images/I/41iTdLRt9vL._SY300_SX300_.jpg,150 Grams,Fastrack, ,228 ratings,TRUE,4.2,TRUE,855,Fastrack Analog Unisex-Adult Watch,NA
NA,Stainless Steel,22 Millimeters,36 Millimeters,Stainless Steel,NA,,https://m.media-amazon.com/images/I/41nkFndJccL._SY300_SX300_.jpg,110 Grams,Sonata, ,"1,930 ratings",TRUE,4,TRUE,719,Sonata White Dial Analog watch For Men-NR1013SM01,
NA,Silicone,20 Millimeters,37.5 Millimeters,Alloy Steel,8 Millimeters,-79%,https://m.media-amazon.com/images/I/41stJafnX7L._SY300_SX300_.jpg,NA,TIMEWEAR, ,26 ratings,TRUE,3.9,TRUE,329,"TIMEWEAR Analog New Track Number Dial, Day Date Functioning, Silicone Strap Watch for Men",One Year Manufacturer Warranty
NA,Leather,24 Millimeters,49 Millimeters,Brass,10 Millimeters,-40%,https://m.media-amazon.com/images/I/41h4g6V2cFL._SY300_SX300_.jpg,100 Grams,Fastrack, ,9 ratings,TRUE,2.9,TRUE,"1,917",Fastrack Orange Dial Analog Watch for Men -3287SL02,
NA,Stainless Steel,20 Millimeters,43.5 Millimeters,Metal,10.4 Millimeters,-20%,https://m.media-amazon.com/images/I/510w3tb530L._SY300_SX300_.jpg,124 Grams,Casio, ,171 ratings,TRUE,4.4,TRUE,"4,796",Casio Enticer Analog Blue Dial Men's Watch-MTP-1374D-2A2VDF/MTP-1374HD-2A2VIF,12 months
NA,Stainless Steel,24.6 Millimeters,49.2 Millimeters,NA,11.05 Millimeters,-20%,https://m.media-amazon.com/images/I/41HKjWdRsIL._SY300_SX300_.jpg,150 Grams,Titan, ,65 ratings,TRUE,4.3,TRUE,"5,076",Titan Analog Black Dial Men's Watch-1805QM05/NR1805QM05,NA
NA,Leather,40 Millimeters,44 Millimeters,Brass,10.2 Millimeters,-30%,https://m.media-amazon.com/images/I/31JruFW1duL._SY300_SX300_.jpg,120 Grams,Fastrack, ,34 ratings,TRUE,4.1,TRUE,"3,076",Fastrack Grey Dial Analog Watch for Men -3272NL02,
NA,NA,NA,NA,NA,NA,-20%,https://m.media-amazon.com/images/I/51wUT+q4CiL._SY300_SX300_.jpg,NA,NA,"₹11,196",77 ratings,TRUE,4.1,TRUE,"11,196",Casio Edifice Chronograph Multi Colour Dial Men's Watch EFR-539SG-1AVUDF(EX188),NA
NA,Metal,40.7 Millimeters,40.7 Millimeters,Metal,7.65 Millimeters,-40%,https://m.media-amazon.com/images/I/41flXuo6DSL._SY300_SX300_.jpg,180 Grams,Fastrack, ,791 ratings,TRUE,4.3,TRUE,"1,375",Fastrack Analog Men's Watch,
NA,NA,NA,NA,NA,NA,-3%,https://m.media-amazon.com/images/I/41AyeEPNwnL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹3,666.00",705 ratings,TRUE, ,TRUE,"3,666",Casio Enticer Analog Black Dial Men MTP-VT01D-1BUDF ( A1612 ),NA
NA,Stainless Steel,22 Millimeters,44 Millimeters,Brass,17.8 Millimeters,-30%,https://m.media-amazon.com/images/I/31hsQtkJ8RL._SY300_SX300_.jpg,180 Grams,Fastrack,"₹1,396",866 ratings,FALSE,4.3,FALSE,"1,396",Fastrack Black Dial Analog Watch For Men -NR38051SM07,
NA,Resin,26 Millimeters,37.2 Millimeters,Resin,8 Millimeters,,https://m.media-amazon.com/images/I/319WWn2mg+L._SY300_SX300_.jpg,50 Grams,Casio, ,"1,136 ratings",TRUE,4,TRUE,995,Casio Enticer Men Analog White Dial Watch-MQ-27-7BDF (A210),
NA,Leather,5 Millimeters,45.6 Millimeters,Brass,8.25 Millimeters,-20%,https://m.media-amazon.com/images/I/41soYSIdnEL._SY300_SX300_.jpg,59 Grams,Titan, ,"1,099 ratings",TRUE,4.2,TRUE,"1,596",Titan Analog White Dial Men's Watch-NL1639SL03/NN1639SL03,
NA,Leather,18 Millimeters,45 Millimeters,Stainless Steel,10 Millimeters,-10%,https://m.media-amazon.com/images/I/41-rS4lxW3L._SY300_SX300_.jpg,70 Grams,Casio,"₹2,515","1,564 ratings",TRUE,4.3,TRUE,"2,515",Casio Enticer Analog Black Dial Men's Watch-MTP-VD01L-1EVUDF (A1371),
NA,Silicone,22 Millimeters,42 Millimeters,Metal,12 Millimeters,-78%,https://m.media-amazon.com/images/I/51Nz5iIMG3L._SY300_SX300_.jpg,NA,jainx,₹289,426 ratings,TRUE,3.8,TRUE,289,jainx Silicone Strap Black Day and Date Feature Analog Wrist Watch for Men & Boys - JM396,Off Site Warranty - In case of any Manufacturing defects with in warranty period customer will need to send the defective product to the service centre at there own cost and the replaced/repaired product will be sent back to customer.
NA,Silicone,24 Millimeters,5.5 Centimeters,Polycarbonate,18 Millimeters,-84%,https://m.media-amazon.com/images/I/51aZE8jd9rL._SY300_SX300_.jpg,NA,TIMEWEAR, ,"21,478 ratings",TRUE,3.8,TRUE,549,TIMEWEAR Analogue - Digital Men's Watch (Black Dial Black Colored Strap),One Year Manufacturer Warranty
NA,Leather,24 Millimeters,46 Millimeters,Stainless Steel,13 Millimeters,-51%,https://m.media-amazon.com/images/I/71yabkRQm7L._SX300_SY300_QL70_FMwebp_.jpg,NA,BENYAR, ,194 ratings,TRUE,4,TRUE,"2,457",BENYAR Wrist Watches for Men Leather Strap Analog Chronograph Fashion Business Sport Design Mens Watch 30M Waterproof Stylish Elegant Gifts for Men,"1 Year Domestic Warranty from any manufacturing defects. Battery, Plating and Waterproofing are not covered under warranty"
NA,NA,NA,NA,NA,NA,-50%,https://m.media-amazon.com/images/I/41TFAC0NlmL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹4,997.00","2,412 ratings",TRUE,4.5,TRUE,"4,997",Fossil Leather Analog Blue Dial Men's Watch-Fs5661,NA
NA,Nylon,22 Millimeters,48 Millimeters,Brass,7.7 Millimeters,-20%,https://m.media-amazon.com/images/I/41gnjcbCXXL._SY300_SX300_.jpg,190 Grams,Titan, ,266 ratings,TRUE,4.2,TRUE,"2,396",Titan Neo Analog Green Dial Men's Watch-1802NL02/NR1802NL02,NA
NA,Leather,20 Millimeters,48 Millimeters,Stainless Steel,10 Millimeters,-71%,https://m.media-amazon.com/images/I/41QxSBQYdpL._SY300_SX300_.jpg,85 Grams,Relish, ,"1,762 ratings",TRUE,3.5,TRUE,289,Relish Analogue Men's Watch (Black Dial & Strap),6 Months
NA,Silicone,22 Millimeters,47 Millimeters,Plastic,14.5 Millimeters,-23%,https://m.media-amazon.com/images/I/31KKfQOl+9L._SY300_SX300_.jpg,180 Grams,Fastrack, ,"1,021 ratings",TRUE,4.2,TRUE,"1,186",Fastrack Analog Watch For Men -NR38040PP01,
NA,Plastic,22 Millimeters,35 Millimeters,"Plastic, Alloy Steel",8 Millimeters,,https://m.media-amazon.com/images/I/41F88lRIcAL._SY300_SX300_.jpg,45 Grams,Sonata,₹549,830 ratings,TRUE,4.2,TRUE,549,Sonata White Dial Analog watch For Men-NR7921PP15,
NA,Metal,23 Millimeters,46.5 Millimeters,Brass,7.7 Millimeters,-25%,https://m.media-amazon.com/images/I/41XMXHEsbOL._SY300_SX300_.jpg,180 Grams,Fastrack, ,145 ratings,TRUE,4.2,TRUE,"1,796",Fastrack Casual Analog Black Dial Men's Watch-3255NM01/NR3255NM01,2 Years
NA,Leather,18 Millimeters,37 Millimeters,Stainless Steel,9.6 Millimeters,-25%,https://m.media-amazon.com/images/I/41lRHO3WGyL._SY300_SX300_.jpg,39 Grams,Casio, ,174 ratings,TRUE,4.2,TRUE,"1,796",Casio Analog Black Dial Men's Watch-MTP-V002L-1B3UDF,NA
NA,NA,NA,NA,NA,NA,-40%,https://m.media-amazon.com/images/I/511UjYbxLvL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹2,457.00",365 ratings,TRUE,4.3,TRUE,"2,457",Timex Analog Blue Dial Men's Watch-TWHG35SMU08,NA
NA,Metal,24.5 Millimeters,49 Millimeters,Brass,9.9 Millimeters,-10%,https://m.media-amazon.com/images/I/41l3o8U2CfL._SY300_SX300_.jpg,180 Grams,Titan,"₹3,595",62 ratings,TRUE,4.3,TRUE,"3,595",Titan Black Dial Analog Watch for Men -1806NM01,1 year
NA,Stainless Steel,20 Millimeters,43.5 Millimeters,Metal,10.4 Millimeters,-20%,https://m.media-amazon.com/images/I/510w3tb530L._SY300_SX300_.jpg,124 Grams,Casio, ,171 ratings,TRUE,4.4,TRUE,"4,796",Casio Enticer Analog Blue Dial Men's Watch-MTP-1374D-2A2VDF/MTP-1374HD-2A2VIF,12 months
NA,Leather,20 Millimeters,50 Millimeters,Stainless Steel,10 Millimeters,-20%,https://m.media-amazon.com/images/I/41nclds-EmL._SY300_SX300_.jpg,480 Grams,Casio, ,"1,484 ratings",TRUE,4.3,TRUE,"2,636",Casio Enticer Analog Dial Watch,
NA,Silicone,21.5 Millimeters,49 Millimeters,Plastic,12 Millimeters,-40%,https://m.media-amazon.com/images/I/31fE55svvlL._SY300_SX300_.jpg,150 Grams,Fastrack, ,"1,387 ratings",TRUE,4.1,TRUE,570,Fastrack Analog Unisex-Adult Watch,NA
NA,Metal,40.7 Millimeters,40.7 Millimeters,Metal,7.65 Millimeters,-40%,https://m.media-amazon.com/images/I/41flXuo6DSL._SY300_SX300_.jpg,180 Grams,Fastrack,"₹1,375",791 ratings,TRUE,4.3,TRUE,"1,375",Fastrack Analog Men's Watch,
NA,Stainless Steel,22 Millimeters,35 Millimeters,Ion Plated,10 Millimeters,-20%,https://m.media-amazon.com/images/I/41Z0Z78UiXL._SY300_SX300_.jpg,0 Grams,Casio,"₹4,796","5,329 ratings",TRUE,4.3,TRUE,"4,796",Casio Enticer Analog Dial Watch,
NA,Leather,22 Millimeters,46 Millimeters,Aluminium,17 Millimeters,-65%,https://m.media-amazon.com/images/I/519+H695XLL._SY300_SX300_.jpg,185 Grams,NAVIFORCE, ,251 ratings,TRUE,4.2,TRUE,"2,439",NAVIFORCE Analog Men's Watch (Green Dial Green Colored Strap),1 Year Seller Warranty
NA,Leather,20 Millimeters,45 Millimeters,Plastic,10.5 Millimeters,-8%,https://m.media-amazon.com/images/I/319pbJErEaL._SY300_SX300_.jpg,NA,Sonata,₹875,604 ratings,TRUE,4.2,TRUE,875,Sonata Volt+ Analog Green Dial Men's Watch NM77085PL02/NN77085PL02W/NP77085PL02W,
NA,Silicone,22 Millimeters,42 Millimeters,Stainless Steel,12,-86%,https://m.media-amazon.com/images/I/41WIROp7icS._SY300_SX300_.jpg,NA,Matrix,₹284,"4,197 ratings",TRUE,3.6,TRUE,284,Matrix Day & Date Analog Wrist Watch for Men & Boys (Black),1 Year Manufacturing Warranty Against Manufacturing Defects
NA,Silicone,22 Millimeters,5.7 Centimeters,Brass,10 Millimeters,-85%,https://m.media-amazon.com/images/I/41zbTPPYsyL._SX300_SY300_.jpg,NA,Matrix,₹379,168 ratings,TRUE,4.1,TRUE,379,Matrix Swap Analog Black Dial Watch with Interchangeable Straps for Men & Boys,1 Year Manufacturer Warranty
NA,Leather,20 Millimeters,40 Millimeters,Stainless Steel,9 Millimeters,-10%,https://m.media-amazon.com/images/I/41z1CdfiqWL._SY300_SX300_.jpg,49 Grams,Casio, ,786 ratings,TRUE,4.1,TRUE,"3,415",Casio Analog Black Dial Men's Watch-MTP-V300L-1AUDF (A1176),
NA,Leather,18 Millimeters,45 Millimeters,Gold Plated,8 Millimeters,-10%,https://m.media-amazon.com/images/I/414VdtnDLRL._SY300_SX300_.jpg,70 Grams,Casio, ,"1,187 ratings",TRUE,4.4,TRUE,"2,695",Casio Enticer Analog Black Dial Men's Watch-MTP-VD01GL-1EVUDF,
